request_id,mol_id,canonical_smiles,isomeric_smiles,program,method_family,theory_level,basis_set,solvation_model,status,recommended_next_action,notes
qreq_36333518ebd70746,mol_qvhveesdsjybgp-uhfffaoysa-n,O=S(=O)(OC(F)=C(F)F)OC(F)=C(F)F,O=S(=O)(OC(F)=C(F)F)OC(F)=C(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_48681a725dab9dfe7094 priority_score=0.758; completed quantum pilot results already ingested
qreq_11a8d9352619ece3,mol_gtegmwofpzpgmv-uhfffaoysa-n,O=S(=O)(F)ON(C(Cl)=C(F)F)C(F)(F)Cl,O=S(=O)(F)ON(C(Cl)=C(F)F)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_ae7f7e8d7fdf136fab70 priority_score=0.757667; completed quantum pilot results already ingested
qreq_e33ca7f5f52cfbe7,mol_kaaufoamwfqsfn-uhfffaoysa-n,O=C(OF)C(=C(F)F)C(F)(F)C(=O)OF,O=C(OF)C(=C(F)F)C(F)(F)C(=O)OF,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_86605a7eec5479d235f1 priority_score=0.757667; completed quantum pilot results already ingested
qreq_0cd0190fbc4ff4fd,mol_pqqfhjytfnejst-uhfffaoysa-n,O=S(=O)(F)ON(C(F)=C(F)F)C(F)(F)F,O=S(=O)(F)ON(C(F)=C(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_b122d621ba9fbb610749 priority_score=0.757667; completed quantum pilot results already ingested
qreq_bb51c5bf6a1bf00a,mol_rqkrnzgzkrjbfn-uhfffaoysa-n,O=S(=O)(F)ON(C(Cl)=C(F)F)C(F)(F)F,O=S(=O)(F)ON(C(Cl)=C(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_d75a49b881e2851a33a2 priority_score=0.757667; completed quantum pilot results already ingested
qreq_7ba034b59ab4c873,mol_pfxbziomdhruqq-uhfffaoysa-n,N#CC(C#N)=C(C(F)(F)F)C(F)(F)F,N#CC(C#N)=C(C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_6e93e9edc5a962554245 priority_score=0.757333; completed quantum pilot results already ingested
qreq_d0c163ca4db2d11a,mol_qzpdraisyzsqkq-uhfffaoysa-n,N#CC(C#N)=C(Cl)C(F)(F)C(F)(F)F,N#CC(C#N)=C(Cl)C(F)(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_2ff1dc72d7adb62a6e0d priority_score=0.757333; completed quantum pilot results already ingested
qreq_66780614acba3609,mol_sgjxekhrsxfuld-uhfffaoysa-n,N#CC(C#N)=C(C(F)(F)F)C(F)(F)Cl,N#CC(C#N)=C(C(F)(F)F)C(F)(F)Cl,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_ff86f03ab8c7654df476 priority_score=0.757333; completed quantum pilot results already ingested
qreq_a4ddc3d2517f29a8,mol_uddgynnpoktchy-uhfffaoysa-n,N#CC(=C(C#N)C(F)(F)F)C(F)(F)F,N#CC(=C(C#N)C(F)(F)F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_95dec3569bc701f20cd4 priority_score=0.757333; completed quantum pilot results already ingested
qreq_bab5914bab1ec3dd,mol_fbtbaxjkujsxfh-uhfffaoysa-n,FC(C#CC(F)(F)F)=C(F)C(F)(F)F,FC(C#CC(F)(F)F)=C(F)C(F)(F)F,xtb,semiempirical,GFN2-xTB,,gas_phase,completed,run_quantum,request only; build never fabricates quantum results; selected from active_learning_queue queue_entry_id=alq_fa21e7e8bd717057d308 priority_score=0.756667; completed quantum pilot results already ingested
