name,property_code,property_name_candidate,value,value_num,unit,source_sheet,match_status,next_action,notes
"1,2-Dichlorobutane",Pc_MPa,critical_pressure_mpa,3.68,3.68,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Pentane,1,2-Dichloro-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,43.89,43.89,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,1-TRIFLUOROBUTANE",Tb_K,boiling_point_c,15.97,15.970000000000027,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"Oxetane,3,3-Dimethyl-",Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,33.94,33.94,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1-Dichloropropane",omega,acentric_factor,0.2529,0.2529,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Dichloropropane",Tc_K,critical_temp_c,304.85,304.85,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Dichloropropane",Pc_MPa,critical_pressure_mpa,4.65,4.65,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
Cyclopentanethiol,Hv_298K_kJmol,vaporization_enthalpy_kjmol_at_298k_candidate,41.42,41.42,kJ/mol,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,3-Dichloropropane",omega,acentric_factor,0.2924,0.2924,dimensionless,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,1,2,2,3,3,3-Heptafluoropropane",Tb_K,boiling_point_c,-16,-16.0,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Dichlorotetrafluoroethane",Tc_K,critical_temp_c,145.7,145.70000000000005,degC,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
"1,2-Dichlorotetrafluoroethane",Pc_MPa,critical_pressure_mpa,3.26,3.26,MPa,2-热物性参考,unmatched_name_only,resolve_structure_or_external_id_before_seed_catalog,thermo reference workbook-only name staged for later identity resolution
