mol_id,seed_id,r_number,canonical_smiles,coverage_tier,entity_scope,property_name,canonical_feature_key,missing_feature_key,recommended_action,priority
mol_mwwathdpgqksar-uhfffaoysa-n,seed_propyne,,C#CC,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_okkjlvbelutlkv-uhfffaoysa-n,seed_methanol,,CO,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_pxgokwxkjxapgv-uhfffaoysa-n,seed_fluorine,,FF,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_rtzkzfjdlaiyfh-uhfffaoysa-n,seed_diethylether,,CCOCC,B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_rwsotubldixvet-uhfffaoysa-n,seed_hydrogensulfide,,S,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_sfzcnbifkdrmgx-uhfffaoysa-n,seed_sulfurhexafluoride,,FS(F)(F)(F)(F)F,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_ugfairiumavxcw-uhfffaoysa-n,seed_carbonmonoxide,,[C-]#[O+],B,refrigerant,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_vexzgxhmugyjmc-uhfffaoysa-n,seed_hydrogenchloride,,Cl,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_vqtubccksqidnk-uhfffaoysa-n,seed_isobutene,,C=C(C)C,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_vxnzuuainfgpby-uhfffaoysa-n,seed_1_butene,,C=CCC,B,candidate,toxicity_class,safety.toxicity_class,safety.toxicity_class,literature_search,207
mol_pxgokwxkjxapgv-uhfffaoysa-n,seed_fluorine,,FF,B,candidate,cop_standard_cycle,cycle.cop,cycle.cop,run_cycle,208
mol_txeyqdlbpfqvaa-uhfffaoysa-n,seed_r14,R-14,FC(F)(F)F,B,refrigerant,cop_standard_cycle,cycle.cop,cycle.cop,run_cycle,208
mol_ugfairiumavxcw-uhfffaoysa-n,seed_carbonmonoxide,,[C-]#[O+],B,refrigerant,cop_standard_cycle,cycle.cop,cycle.cop,run_cycle,208
mol_vggsqfucumxweo-uhfffaoysa-n,seed_ethylene,R-1150,C=C,B,refrigerant,cop_standard_cycle,cycle.cop,cycle.cop,run_cycle,208
mol_vnwktokethgbqd-uhfffaoysa-n,seed_methane,R-50,C,B,refrigerant,cop_standard_cycle,cycle.cop,cycle.cop,run_cycle,208
mol_afabghuzzdyhjo-uhfffaoysa-n,seed_isohexane,,CCCC(C)C,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_awtofsdlnreifs-uhfffaoysa-n,seed_r245ca,R-245ca,FCC(F)(F)C(F)F,B,refrigerant,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
mol_crsoqbowxpbres-uhfffaoysa-n,seed_neopentane,,CC(C)(C)C,B,candidate,thermal_conductivity_liquid_wmk,transport.liquid_thermal_conductivity,transport.liquid_thermal_conductivity,run_cycle,208
